,datetime,pres,temp,station,cruise_ID
3099,2024-06-26 09:31:26.750000000,1.026,23.8613,4,IFS_2024
3098,2024-06-26 09:31:26.500000000,1.091,23.8597,4,IFS_2024
3097,2024-06-26 09:31:26.250000000,1.138,23.8577,4,IFS_2024
3096,2024-06-26 09:31:26.000000000,1.167,23.8554,4,IFS_2024
3095,2024-06-26 09:31:25.750000000,1.167,23.8537,4,IFS_2024
3094,2024-06-26 09:31:25.500000000,1.167,23.8537,4,IFS_2024
3093,2024-06-26 09:31:25.250000000,1.173,23.8537,4,IFS_2024
3092,2024-06-26 09:31:25.000000000,1.173,23.8562,4,IFS_2024
3091,2024-06-26 09:31:24.750000000,1.181,23.8592,4,IFS_2024
3090,2024-06-26 09:31:24.500000000,1.233,23.8617,4,IFS_2024
3089,2024-06-26 09:31:24.250000000,1.326,23.8634,4,IFS_2024
3088,2024-06-26 09:31:24.000000000,1.459,23.8644,4,IFS_2024
3087,2024-06-26 09:31:23.750000000,1.624,23.8644,4,IFS_2024
3086,2024-06-26 09:31:23.500000000,1.809,23.8644,4,IFS_2024
3085,2024-06-26 09:31:23.250000000,2.002,23.8644,4,IFS_2024
3084,2024-06-26 09:31:23.000000000,2.189,23.8634,4,IFS_2024
3083,2024-06-26 09:31:22.750000000,2.363,23.8622,4,IFS_2024
3082,2024-06-26 09:31:22.500000000,2.517,23.8609,4,IFS_2024
3081,2024-06-26 09:31:22.250000000,2.648,23.8598,4,IFS_2024
3080,2024-06-26 09:31:22.000000000,2.755,23.8591,4,IFS_2024
3079,2024-06-26 09:31:21.750000000,2.842,23.8589,4,IFS_2024
3078,2024-06-26 09:31:21.500000000,2.913,23.8589,4,IFS_2024
3077,2024-06-26 09:31:21.250000000,2.974,23.8589,4,IFS_2024
3076,2024-06-26 09:31:21.000000000,3.03,23.8594,4,IFS_2024
3075,2024-06-26 09:31:20.750000000,3.09,23.8601,4,IFS_2024
3074,2024-06-26 09:31:20.500000000,3.158,23.8609,4,IFS_2024
3073,2024-06-26 09:31:20.250000000,3.24,23.8614,4,IFS_2024
3072,2024-06-26 09:31:20.000000000,3.338,23.8617,4,IFS_2024
3071,2024-06-26 09:31:19.750000000,3.452,23.8617,4,IFS_2024
3070,2024-06-26 09:31:19.500000000,3.581,23.8617,4,IFS_2024
3069,2024-06-26 09:31:19.250000000,3.723,23.8617,4,IFS_2024
3068,2024-06-26 09:31:19.000000000,3.871,23.8616,4,IFS_2024
3067,2024-06-26 09:31:18.750000000,4.021,23.8614,4,IFS_2024
3066,2024-06-26 09:31:18.500000000,4.166,23.8611,4,IFS_2024
3065,2024-06-26 09:31:18.250000000,4.303,23.8607,4,IFS_2024
3064,2024-06-26 09:31:18.000000000,4.427,23.8601,4,IFS_2024
3063,2024-06-26 09:31:17.750000000,4.539,23.8595,4,IFS_2024
3062,2024-06-26 09:31:17.500000000,4.64,23.859,4,IFS_2024
3061,2024-06-26 09:31:17.250000000,4.731,23.859,4,IFS_2024
3060,2024-06-26 09:31:17.000000000,4.818,23.859,4,IFS_2024
3059,2024-06-26 09:31:16.750000000,4.905,23.8592,4,IFS_2024
3058,2024-06-26 09:31:16.500000000,4.999,23.8592,4,IFS_2024
3057,2024-06-26 09:31:16.250000000,5.102,23.8592,4,IFS_2024
3056,2024-06-26 09:31:16.000000000,5.218,23.8592,4,IFS_2024
3055,2024-06-26 09:31:15.750000000,5.345,23.8588,4,IFS_2024
3054,2024-06-26 09:31:15.500000000,5.481,23.8582,4,IFS_2024
3053,2024-06-26 09:31:15.250000000,5.623,23.8573,4,IFS_2024
3052,2024-06-26 09:31:15.000000000,5.766,23.8562,4,IFS_2024
3051,2024-06-26 09:31:14.750000000,5.906,23.8548,4,IFS_2024
3050,2024-06-26 09:31:14.500000000,6.041,23.8534,4,IFS_2024
3049,2024-06-26 09:31:14.250000000,6.168,23.8533,4,IFS_2024
3048,2024-06-26 09:31:14.000000000,6.288,23.8533,4,IFS_2024
3047,2024-06-26 09:31:13.750000000,6.401,23.8533,4,IFS_2024
3046,2024-06-26 09:31:13.500000000,6.51,23.8538,4,IFS_2024
3045,2024-06-26 09:31:13.250000000,6.62,23.8538,4,IFS_2024
3044,2024-06-26 09:31:13.000000000,6.731,23.8538,4,IFS_2024
3043,2024-06-26 09:31:12.750000000,6.848,23.8535,4,IFS_2024
3042,2024-06-26 09:31:12.500000000,6.971,23.8529,4,IFS_2024
3041,2024-06-26 09:31:12.250000000,7.1,23.8521,4,IFS_2024
3040,2024-06-26 09:31:12.000000000,7.232,23.8505,4,IFS_2024
3039,2024-06-26 09:31:11.750000000,7.365,23.848,4,IFS_2024
3038,2024-06-26 09:31:11.500000000,7.496,23.8445,4,IFS_2024
3037,2024-06-26 09:31:11.250000000,7.622,23.8406,4,IFS_2024
3036,2024-06-26 09:31:11.000000000,7.741,23.8373,4,IFS_2024
3035,2024-06-26 09:31:10.750000000,7.851,23.8354,4,IFS_2024
3034,2024-06-26 09:31:10.500000000,7.954,23.8351,4,IFS_2024
3033,2024-06-26 09:31:10.250000000,8.05,23.835,4,IFS_2024
3032,2024-06-26 09:31:10.000000000,8.142,23.8349,4,IFS_2024
